Crankshaft,Overheating,Lubricant,Misfires,Piston,Starter,Decision
7.1,14.022,11.332,4.16,8.47,3.576,Good
8.008,11.403,13.283,5.05,9.418,281.621,Minor
8.552,13.39,12.361,4.003,8.483,4.683,Good
8.705,1139.254,12.5,594.02,10.135,3.865,Critical
8.611,15.083,10.622,4.367,8.434,454.651,Moderate
7.877,11.024,12.092,6,7.264,388.625,Minor
8.754,13.013,11.1,4.947,8.158,301.874,Minor
7.989,13.299,12.079,4.792,9.089,2.829,Good
9.675,15.257,11.1,4.909,7.877,4.523,Minor
8.974,12.436,10.831,5.455,8.241,4.683,Good
10.344,13.983,8.612,4.602,8.2,4.612,Good
9.262,13.797,13.521,5.584,10.479,389.629,Minor
7.537,13.291,11.067,5.51,8.659,430.294,Minor
9.653,13.078,1166.927,6.888,8.447,4.963,Critical
8.351,10.463,11.838,4.833,9.242,3.471,Good
986.272,12.754,14.009,5.583,10.463,350.51,Critical
9.387,12.588,11.854,4.432,9.565,373.654,Minor
10.332,13.23,10.153,3.581,8.598,314.077,Minor
8.141,11.243,12.092,5.218,8.447,494.358,Moderate
8.473,11.024,1347.271,4.978,7.418,560.513,Critical
8.201,11.997,1142.545,5.587,9.149,4.813,Critical
9.385,12.613,1173.006,6.098,7.632,4.471,Minor
9.302,11.013,11.169,3.893,8.646,361.196,Minor
8.21,11.722,11.661,4.578,8.1,4.287,Good
8.319,13.23,13.901,6.169,8.965,395.896,Minor
9.754,12.871,10.597,6.606,7.768,3.641,Good
9.834,13.525,10.692,3.954,8.487,3.975,Moderate
6.922,12.458,12.245,557.327,10.065,331.669,Critical
8.855,14.761,11.806,4.003,10.679,371.058,Minor
8.492,12.503,10.629,5.871,8.144,475.942,Moderate
8.073,13.471,12.313,5.395,8.51,312.737,Minor
8.546,12.904,9.748,5.417,6.687,481.347,Moderate
8.22,13.763,10.998,5.049,6.92,4.145,Good
8.552,16.148,14.386,6.016,7.827,414.406,Good
9.358,11.013,10.19,3.714,8.308,347.16,Minor
8.141,14.865,12.627,4.94,7.767,332.185,Minor
8.073,12.768,13.774,4.707,10.373,4.944,Good
10.446,11.378,12.245,5.343,7.672,4.616,Good
8.639,15.182,11.816,457.868,6.732,370.699,Moderate
7.806,16.386,12.072,5.345,9.405,5.197,Good
8.237,10.677,12.758,5.05,10.043,4.901,Good
7.383,12.169,13.35,4.001,8.104,401.636,Minor
9.84,16.214,11.73,6.185,8.54,3.94,Good
8.693,12.507,1116.703,3.276,795.858,3.4,Critical
8.34,11.577,12.072,459.116,7.179,4.375,Moderate
10.018,11.827,11.58,471.062,9.082,5.087,Moderate
8.473,11.057,14.382,4.952,7.634,2.465,Good
8.121,13.936,11.816,4.792,8.119,406.167,Minor
9.009,14.725,10.622,644.946,8.876,334.25,Critical
9.153,14.133,1307.101,5.243,8.573,412.086,Critical
8.253,14.755,13.908,5.356,7.595,3.764,Good
9.52,14.031,1290.772,3.839,7.906,5.907,Critical
8.327,9.765,12.43,4.562,8,575.862,Moderate
6.922,11.865,11.338,450.541,861.858,5.1,Critical
8.674,9.582,1236.103,4.624,8.383,366.126,Critical
8.901,12.036,12.11,5.38,7.736,419.769,Minor
10.313,12.036,14.089,6.589,6.636,4.47,Good
9.672,14.561,11.879,4.948,6.603,466.211,Moderate
9.502,12.197,9.394,466.615,7.955,4.507,Moderate
9.08,13.7,9.51,5.193,8.359,491.649,Moderate
8.705,13.389,11.273,4.609,9.72,3.186,Good
9.675,14.449,8.994,6,9.652,3.855,Good
7.806,11.88,10.692,5.01,8.834,401.617,Minor
9.771,12.046,12.007,5.701,6.864,481.794,Moderate
9.292,11.164,12.102,4.39,9.148,4.718,Moderate
6.71,13.341,10.148,4.454,7.911,347.488,Minor
8.922,12.99,12.361,498.077,9.823,4.701,Moderate
9.69,13.96,1017.854,5.688,8.484,465.66,Critical
8.882,12.243,1337.963,5.327,7.767,372.035,Critical
8.25,16.052,10.831,4.997,9.44,4.871,Good
8.817,14.832,12.361,477.766,8.04,469.077,Critical
7.85,17.181,13.443,4.733,8.794,428.397,Moderate
8.494,15.067,10.753,5.211,9.249,443.831,Moderate
8.695,11.997,13.552,543.36,10.031,4.554,Moderate
7.934,13.081,14.382,462.145,7.421,438.198,Critical
8.144,12.375,12.178,4.528,8.782,460.678,Moderate
7.619,11.484,13.006,5.174,9.419,5.13,Good
7.868,12.768,9.801,5.738,9.618,3.856,Good
7.183,10.782,13.941,4.463,8.619,371.478,Minor
7.899,12.271,14.215,4.733,885.903,349.17,Critical
8.73,1258.83,12.092,5.215,10.064,4.125,Critical
8.279,11.802,11.073,3.664,9.032,291.449,Minor
8.593,14.277,9.51,4.469,9.184,3.655,Critical
9.637,13.019,11.378,4.003,7.815,4.953,Good
8.979,14.266,12.57,429.966,9.957,4.564,Moderate
8.863,1292.164,1069.44,436.699,8.484,4.547,Critical
9.7,12.244,13.616,6.472,9.996,3.921,Good
7.979,13.389,9.344,5.341,7.875,327.505,Minor
7.722,1213.447,12.655,5.754,9.224,3.181,Critical
7.246,12.036,11.549,4.745,9.821,4.203,Good
8.17,11.377,11.497,5.255,9.629,268.04,Minor
7.504,14.3,12.06,4.126,9.179,481.273,Moderate
9.363,13.003,13.283,5.024,8.408,365.495,Minor
8.857,13.119,13.419,4.624,7.357,410.7,Minor
9.319,11.986,11.312,4.819,10.249,446.994,Moderate
8.418,12.754,11.832,4.777,9.599,4.071,Moderate
10.416,1303.757,12.072,4.666,9.642,4.953,Critical
7.651,13.02,1300.612,5.871,9.974,3.322,Critical
8.284,12.036,1173.006,4.714,9.957,3.423,Critical
9.441,13.93,10.694,341.594,9.707,3.425,Minor
9.787,9.916,1083.082,416.44,7.797,389.647,Critical
8.882,15.758,12.361,4.909,10.305,3.711,Good
9.754,14.762,13.321,5.399,9.285,3.546,Good
7.899,13.595,12.749,560.895,10.479,372.453,Critical
8.258,15.067,13.871,5.908,7.526,494.437,Moderate
8.25,13.637,1170.595,6.075,8.698,5.202,Critical
9.416,15.758,1107.296,3.979,6.414,467.232,Critical
9.443,10.677,10.371,4.039,8.773,4.47,Good
11.132,14.581,11.969,441.427,9.559,470.092,Critical
10.122,12.168,12.627,4.909,8.484,450.8,Moderate
9.192,12.896,10.098,4.445,9.034,326.108,Minor
7.206,13.474,12.718,5.074,9.309,5.333,Good
8.541,12.439,1452.283,377.749,8.13,465.66,Critical
8.058,11.07,10.998,4.925,9.89,385.62,Minor
7.18,11.502,9.758,4.47,8.946,4.092,Good
8.729,12.459,12.634,3.416,8.161,426.745,Minor
8.329,13.447,9.812,5.697,9.682,423.159,Good
9.845,12.901,11.525,5.075,7.907,3.635,Good
8.695,10.822,11.669,4.302,784.509,4.486,Moderate
7.987,12.397,12.21,4.757,905.975,3.713,Critical
974.258,13.599,1272.121,4.711,894.574,433.903,Critical
9.343,13.829,1059.702,517.214,8.277,3.11,Critical
9.633,16.148,8.612,5.191,824.422,4.418,Moderate
793.366,15.382,11.565,6.572,7.884,3.621,Moderate
840.689,14.56,1064.26,4.975,9.415,457.777,Critical
9.809,14.896,13.191,4.149,767.156,361.196,Critical
6.638,13.856,10.065,5.583,9.47,5.018,Good
7.912,15.376,12.11,5.08,7.431,2.571,Good
9.354,13.387,11.558,5.184,7.583,406.786,Minor
7.877,12.658,14.178,6.166,8.916,347.551,Minor
8.285,15.255,11.307,3.232,10.494,4.508,Good
9.465,11.802,12.642,3.816,10.679,314.06,Minor
8.508,13.961,11.234,4.909,7.806,3.377,Good
9.562,14.902,12.007,4.948,9.624,404.527,Minor
10.209,1354.224,11.273,481.83,8.602,3.606,Critical
11.247,15.466,12.785,5.217,897.005,475.408,Critical
10.416,13.042,10.646,5.074,8.431,523.304,Moderate
9.995,16.214,1145.69,481.903,8.573,4.715,Minor
8.974,11.807,12.873,5.508,7.29,418.787,Minor
9.485,11.243,14.523,4.55,8.723,3.243,Good
8.32,12.374,13.521,4.757,8.492,3.715,Good
9.045,13.561,9.718,3.734,9.149,3.208,Minor
6.961,10.793,12.901,5.306,10.373,3.458,Good
10.115,15.711,11.969,591.566,8.594,419.541,Critical
879.401,11.377,12.518,6.015,8.484,376.054,Critical
9.242,14.557,11.116,4.154,10.344,405.809,Minor
8.171,13.328,16.174,6.631,8.214,405.809,Minor
8.812,12.968,12.785,5.877,8.594,3.729,Good
9.585,13.763,13.071,4.342,9.418,437.677,Moderate
8.555,10.34,10.622,4.164,6.364,3.774,Good
9.995,11.495,14.553,5.84,8.466,4.207,Good
7.206,10.925,9.931,5.284,7.626,3.464,Moderate
8.83,13.471,14.626,4.55,6.888,3.775,Good
8.686,14.621,10.708,521.512,9.707,437.677,Critical
6.961,16.477,11.934,5.405,8.04,3.423,Good
10.059,13.39,13.216,609.819,9.17,4.021,Moderate
8.062,10.561,11.903,4.363,8.895,2.465,Good
8.81,12.926,12.785,4.514,7.583,385.555,Minor
9.468,14.449,13.38,6.572,7.477,334.523,Minor
9.292,13.868,10.19,4.367,7.554,4.662,Good
8.348,13.02,12.007,528.416,8.54,3.727,Moderate
7.619,14.15,12.815,3.714,8.928,4.75,Good
9.11,12.968,13.579,5.743,8.877,454.724,Moderate
10.35,10.093,11.706,4.302,8.189,371.478,Minor
7.515,12.917,12.873,4.154,9.229,3.939,Good
8.882,12.588,15.272,4.951,8.939,4.871,Critical
9.675,14.255,14.382,4.745,7.264,408.183,Minor
10.045,13.702,10.098,6.169,9.286,436.025,Moderate
9.319,1249.889,11.73,3.858,8.579,4.508,Critical
10.122,9.916,11.806,6.185,9.239,499.62,Moderate
8.16,12.375,1301.143,4.644,9.415,393.844,Critical
7.205,14.85,11.354,5.871,6.92,3.148,Good
8.172,16.163,11.457,4.581,7.672,412.076,Minor
9.845,15.257,12.785,4.899,9.234,387.941,Minor
7.354,12.083,13.405,4.164,9.485,4.191,Good
7.836,10.182,14.84,404.603,9.652,3.486,Good
8.088,15.068,11.879,4.853,9.237,318.071,Minor
9.545,12.437,9.718,3.686,9.173,442.331,Moderate
9.17,12.175,13.908,6.332,7.74,3.879,Good
9.363,13.705,10.297,4.283,9.409,523.304,Moderate
8.284,12.688,12.035,4.353,8.89,5.111,Good
8.911,14.101,10.153,5.075,9.974,5.111,Good
9.276,12.768,11.592,5.608,9.033,399.47,Minor
9.058,14.181,12.492,5.075,751.919,5.305,Moderate
9.276,13.983,8.986,4.875,9.026,371.311,Minor
8.705,13.12,1142.545,4.003,7.431,523.304,Critical
8.157,1048.729,14.21,6.185,9.447,454.724,Critical
9.513,13.39,13.65,455.02,8.477,3.934,Moderate
9.281,15.083,14.523,6.072,10.737,414.446,Minor
8.686,13.39,13.283,4.914,8.792,347.287,Minor
9.771,13.184,10.83,4.149,7.587,345.83,Minor
9.818,11.16,14.626,4.233,8.698,3.623,Good
7.852,13.013,13.611,5.215,10.463,4.016,Minor
8.043,13.29,12.642,5.148,9.47,312.737,Minor
8.937,10.093,9.801,4.233,9.707,5.202,Good
7.307,11.254,11.116,3.893,8.877,475.408,Moderate
9.672,11.07,1106.683,6.207,8.553,410.832,Critical
7.747,11.444,9.931,5.118,9.151,3.884,Good
9.147,16.386,13.041,5.569,9.409,511.041,Moderate
9.001,14.56,9.931,5.174,8.149,414.592,Minor
7.722,12.699,13.443,4.875,6.85,4.607,Good
8.285,12.507,13.321,4.55,9.513,523.385,Moderate
7.487,11.724,11.09,3.664,7.463,4.361,Good
9.292,10.864,14.553,3.276,7.827,433.903,Moderate
8.196,1091.161,15.49,4.445,8.202,415.121,Critical
7.978,13.081,11.46,3.581,8.477,3.612,Good
7.608,1311.023,10.629,3.251,7.813,424.93,Critical
10.089,11.927,13.283,3.984,7.782,4.01,Good
6.961,10.556,13.011,4.646,7.269,4.387,Moderate
7.556,15.385,11.606,3.156,7.147,4.182,Good
7.194,13.197,11.273,4.952,844.155,5.259,Moderate
8.187,12.794,1224.499,5.867,8.716,467.102,Critical
8.279,14.278,1361.134,5.343,9.247,4.202,Critical
8.489,12.175,12.49,5.434,762.598,5.651,Moderate
9.093,14.557,12.785,5.187,8.749,4.102,Good
9.187,12.197,10.854,5.05,8.164,392.469,Minor
8.986,12.656,13.552,521.674,9.683,3.914,Moderate
10.159,14.451,14.119,4.271,6.854,386.478,Good
8.857,12.175,12.102,4.86,10.049,415.741,Minor
8.561,10.419,12.785,4.126,8.659,4.232,Good
8.708,14.15,10.371,3.984,6.864,4.218,Good
8.29,13.042,11.399,4.391,8.51,422.565,Minor
7.837,12.84,13.994,4.572,7.126,4.108,Good
9.432,14.902,11.09,3.519,8.794,3.485,Good
8.882,12.023,13.871,5.184,8.492,428.24,Minor
9.309,13.425,11.903,4.385,8.521,3.934,Good
8.45,13.02,12.072,5.542,10.703,419.127,Minor
7.859,11.495,12.785,4.645,8.176,372.916,Minor
7.037,13.567,10.974,6,7.482,432.164,Minor
9.119,11.863,10.371,4.046,8.65,369.66,Minor
8.395,13.474,13.071,5.532,7.815,411.111,Minor
10.133,13.447,10.974,5.291,7.554,5.234,Good
8.073,12.344,11.23,4.364,10.001,513.001,Moderate
7.865,14.73,12.092,3.721,9.089,373.654,Minor
8.922,13.341,13.941,5.508,9.234,448.579,Moderate
10.104,12.503,13.312,5.074,8.189,4.219,Good
10.501,14.73,12.634,5.518,8.928,424.93,Minor
9.904,13.54,12.035,5.518,7.519,4.426,Good
8.794,13.523,1094.223,5.282,6.854,411.186,Critical
8.693,11.768,1390.839,506.332,8.063,465.639,Critical
9.658,15.083,12.313,5.517,9.996,3.702,Good
8.489,13.391,13.611,5.417,9.421,4.151,Good
7.179,16.05,12.178,479.774,9.053,4.578,Moderate
6.997,13.57,13.479,4.199,8.227,467.102,Moderate
10.278,13.964,14.626,5.039,8.484,334.267,Minor
9.538,12.093,10.098,4.481,7.613,533.264,Moderate
7.614,12.745,11.758,5.097,7.421,3.606,Good
7.487,11.535,13.871,5.178,7.183,3.694,Good
10.624,1193.318,11.312,5.122,8.598,433.621,Critical
8.695,11.813,15.923,4.11,815.57,3.416,Moderate
8.922,12.169,1097.452,4.554,9.629,403.074,Critical
10.045,14.651,14.553,5.923,7.217,438.699,Moderate
8.067,12.436,1278.467,5.227,7.898,5.233,Critical
9.045,10.618,12.594,437.644,725.042,4.651,Critical
8.686,13.13,12.328,5.001,7.749,4.188,Good
7.037,12.137,13.043,5.136,9.542,379.414,Minor
9.292,13.152,12.5,6.335,991.169,5.375,Critical
10.862,12.065,13.312,4.554,10.065,4.151,Good
9.653,13.045,12.072,4.972,9.225,543.254,Moderate
9.58,15.93,12.035,436.364,7.92,3.422,Moderate
9.502,13.045,1173.006,402.715,10.009,4.219,Critical
8.603,13.469,11.565,4.385,7.738,314.077,Minor
9.995,13.912,13.419,4.624,7.845,395.915,Good
11.439,12.27,11.425,6.332,8.3,383.092,Minor
9.044,14.507,13.552,4.722,10.681,3.516,Good
9.17,11.285,9.718,5.158,9.053,333.302,Minor
8.284,11.444,13.994,4.818,8.904,430.492,Minor
7.568,12.689,1272.121,5.566,8.183,4.329,Critical
8.933,12.695,1142.545,4.455,9.94,4.656,Critical
10.501,14.15,13.283,4.853,7.02,469.995,Moderate
10.255,11.707,9.384,5.277,8.313,475.408,Moderate
9.014,15.549,9.724,522.396,8.698,3.342,Moderate
10.278,10.97,11.934,5.867,8.602,460.115,Moderate
10.228,14.03,9.758,631.441,9.485,3.869,Moderate
10.327,13.498,14.178,4.925,8.431,3.869,Good
7.812,12.175,13.579,6.273,9.662,3.823,Minor
8.216,10.793,11.399,5.697,9.237,4.651,Good
1034.991,1537.626,1271.843,5.163,9.605,341.488,Critical
8.104,15.5,11.09,3.568,7.502,5.412,Good
8.273,15.829,14.149,593.145,8.241,4.212,Moderate
7.537,12.389,14.553,6.072,10.463,449.845,Moderate
8.979,15.549,11.988,5.211,10.703,428.687,Moderate
10.115,11.927,11.706,5.384,8.868,4.879,Good
1113.196,13.194,12.06,4.432,8.598,3.061,Critical
8.778,12.306,9.812,4.748,8.277,357.201,Minor
10.133,13.964,12.492,633.516,8.812,461.242,Critical
8.008,12.643,16.174,5.215,8,4.657,Good
9.953,9.12,12.291,4.464,922.516,4.104,Critical
9.4,13.962,11.46,5.823,10.394,3.475,Moderate
8.971,12.944,13.283,5.913,8.088,5.197,Good
8.412,13.11,12.184,4.393,7.81,3.925,Minor
9.847,13.389,12.313,5.24,8.593,4.569,Good
9.021,12.596,15.252,4.023,10.034,383.46,Minor
7.812,11.9,11.694,5.065,8.477,393.988,Minor
8.979,12.452,9.812,464.485,6.85,387.186,Moderate
9.319,12.168,12.102,4.329,8.425,3.86,Good
6.831,12.901,13.216,3.51,7.64,421.189,Minor
9.441,12.487,13.871,4.582,8.961,530.925,Moderate
7.669,14.45,11.307,4.528,7.554,347.488,Minor
10.97,14.671,10.998,5.124,8.47,3.715,Good
9.58,12.028,12.949,5.727,8.189,4.741,Good
7.713,12.926,1069.44,5.05,10.305,386.478,Critical
7.945,11.959,10.83,3.37,9,4.656,Good
6.899,15.255,13.321,417.229,9.151,4.146,Minor
7.737,14.629,9.718,5.187,7.853,4.188,Good
1004.939,14.156,14.089,4.975,8.144,410.211,Critical
8.986,14.449,12.072,515.844,10.826,4.523,Moderate
9.354,11.299,12.655,5.122,9.605,442.617,Moderate
8.505,1570.69,15.02,4.578,9.179,3.921,Critical
9.701,11.12,10.86,4.088,9.421,402.504,Minor
8.181,14.791,10.643,4.654,6.888,461.558,Moderate
8.986,12.197,13.937,4.645,10.494,5.13,Good
9.058,14.242,13.941,4.28,10.249,464.984,Moderate
8.73,10.34,11.565,4.96,8.488,394.79,Minor
8.494,13.422,14.609,5.554,9.703,379.414,Minor
8.531,13.313,12.355,5.409,8.136,4.303,Good
10.479,14.022,11.482,5.174,10.681,3.471,Good
7.747,16.052,10.646,4.25,8.245,4.125,Good
8.817,12.409,13.186,4.151,9.205,4.372,Good
7.208,13.285,13.041,3.686,8.462,4.765,Good
8.02,14.791,13.071,4.86,7.884,5.087,Good
10.593,12.99,1592.339,490.799,7.482,3.322,Critical
8.857,14.288,13.38,4.858,7.764,3.702,Good
7.987,12.901,11.457,6.016,7.211,4.656,Good
9.387,10.864,1009.768,5.266,8.13,442.617,Critical
8.172,12.399,12.43,6.314,8.483,450.819,Moderate
8.556,11.201,1209.156,4.205,8.698,419.732,Critical
9.763,14.558,13.038,3.568,8.091,4.025,Good
8.407,15.466,13.405,4.924,6.973,377.617,Minor
8.318,11.024,11.061,5.569,7.613,4.017,Good
7.228,14.889,1014.777,5.51,8.313,3.619,Critical
8.141,1683.831,1344.299,4.517,8.211,424.196,Critical
9.302,10.463,11.931,6.273,8.84,4.963,Good
9.192,11.88,1262.673,4.126,7.672,4.062,Critical
9.021,10.057,14.844,4.806,6.688,3.781,Good
7.1,14.451,1120.134,5.049,8.876,4.307,Critical
6.638,13.523,13.321,4.844,9.228,386.02,Minor
9.678,15.714,10.236,4.233,7.421,3.612,Critical
8.922,12.944,14.178,5.174,8.431,3.987,Good
9.302,12.333,11.036,493.71,8.122,319.394,Moderate
8.565,12.542,11.988,4.723,9.703,422.82,Minor
7.721,11.741,12.492,5.415,8.905,4.802,Good
9.11,14.948,13.312,4.654,8.484,465.639,Moderate
7.989,13.087,14.587,3.156,7.179,490.433,Moderate
9.971,14.241,14.553,3.578,9.385,406.306,Minor
10.049,13.523,12.57,4.644,6.569,419.297,Minor
10.479,12.968,13.38,512.184,9.188,370.699,Critical
9.701,13.23,13.191,4.475,9.149,4.237,Good
7.988,16.052,14.774,5.217,8.767,3.561,Good
8.508,16.838,12.627,6.166,7.519,3.797,Good
7.713,11.767,1145.69,688.844,8.19,410.446,Critical
8.695,13.042,12.459,5.215,9.237,3.561,Good
9.847,11.108,12.785,5.151,8.244,4.723,Good
10.171,11.724,1298.171,3.844,9.565,418.148,Critical
8.253,12.083,12.459,4.554,8.221,3.865,Good
8.921,14.651,12.275,530.527,6.636,509.157,Critical
11.247,12.271,11.806,5.187,8.593,356.107,Minor
6.809,13.96,10.456,5.671,7.736,534.933,Moderate
8.546,1518.307,12.655,4.154,9.821,354.588,Critical
10.214,13.045,11.167,6.06,7.582,3.423,Good
8.141,14.241,10.603,4.645,8.129,460.656,Moderate
9.17,14.85,12.785,4.027,9.683,377.617,Minor
9.002,12.168,12.785,5.126,9.321,4.302,Good
8.546,13.387,11.01,5.45,9.082,4.025,Good
9.718,12.085,12.221,4.979,8.594,332.185,Minor
8.589,11.67,12.079,4.948,8.773,320.807,Minor
10.332,12.375,11.661,5.136,9.029,3.505,Good
8.395,13.547,15.02,5.24,9.363,342.271,Minor
6.159,14.181,11.832,5.195,8.492,4.701,Good
10.424,13.391,12.246,5.916,10.373,4.052,Moderate
8.433,11.889,9.748,5.554,8.742,3.476,Good
7.543,13.983,12.785,4.301,8.434,357.411,Minor
9.763,12.028,14.21,4.657,812.914,392.109,Critical
8.971,12.592,11.832,435.28,830.007,3.79,Critical
7.404,12.811,13.611,5.524,7.906,3.461,Good
9.809,11.986,15.272,5.409,9.957,422.565,Minor
10.205,14.559,14.119,3.519,9.305,412.098,Minor
7.95,15.831,12.5,4.872,8.069,3.458,Good
8.555,11.243,12.873,4.601,7.477,456.448,Moderate
8.971,12.656,12.655,605.552,9.173,4.361,Moderate
8.21,11.827,15.492,5.243,820.704,450.725,Critical
7.978,1329.937,11.728,3.605,9.672,4.039,Critical
10.868,13.306,13.283,4.385,9.94,5.197,Good
8.901,13.126,1592.339,4.888,7.494,390.108,Critical
7.527,10.239,11.728,4.591,8.437,4.05,Good
9.292,15.18,12.361,4.013,9.533,3.952,Good
10.228,10.912,12.982,5.305,8.484,324.336,Minor
9.11,1345.592,13.579,4.774,9.457,4.144,Critical
9.68,14.15,10.622,5.159,7.904,455.916,Moderate
8.22,15.714,13.006,4.975,8.895,3.737,Good
8.651,13.11,12.492,410.984,8.53,318.054,Moderate
8.508,11.768,12.291,4.287,7.952,4.765,Good
8.062,12.839,15.49,4.86,8.308,449.845,Moderate
10.446,10.464,10.148,5.108,8.342,457.013,Moderate
8.366,12.375,11.669,5.626,8.383,4.78,Good
7.979,14.031,11.816,5.826,8.602,3.702,Good
9.754,12.389,10.646,5.542,8.022,4.605,Good
8.008,14.101,13.521,4.105,7.81,3.729,Good
8.33,11.827,14.119,5.609,8.411,4.117,Good
7.179,13.714,14.149,5.003,10.264,341.488,Good
9.045,12.643,11.91,4.126,8.236,4.339,Good
7.486,9.51,12.785,4.654,9.344,487.876,Moderate
8.146,12.045,12.459,4.505,9.024,319.636,Minor
9.899,13.748,11.177,4.675,10.241,383.46,Minor
7.67,11.543,10.622,4.644,9.652,3.914,Good
8.121,16.506,1315.198,4.759,10.703,430.492,Critical
9.08,9.765,1159.194,436.74,8.797,2.571,Critical
7.945,11.841,12.5,4.768,7.736,379.664,Minor
9.997,14.291,10.629,4.981,8.521,395.202,Minor
7.537,16.508,13.493,3.026,938.515,4.423,Critical
11.439,12.871,12.785,4.039,9.253,3.697,Good
7.556,13.149,1111.582,5.282,821.117,401.748,Critical
8.907,13.59,13.579,5.194,8.506,5.114,Good
9.452,15.067,1394.065,5.727,7.595,3.835,Critical
1033.179,13.073,14.149,4.16,9,4.616,Critical
9.278,14.069,11.482,4.661,6.92,4.871,Good
8.555,13.96,12.328,4.707,8.716,3.623,Moderate
6.71,14.069,11.425,5.178,8.802,306.106,Minor
10.786,1046.423,10.708,5.913,6.603,428.397,Critical
10.07,14.075,1283.454,6.169,7.963,3.521,Critical
8.395,15.257,13.97,5.063,10.031,460.656,Moderate
8.812,12.926,11.728,539.326,9.605,432.164,Critical
8.181,11.722,12.492,5.282,9.623,4.75,Good
9.187,9.916,1361.757,4.464,7.89,3.562,Critical
7.404,12.134,10.597,4.807,8.483,362.135,Minor
9.465,12.314,10.694,508.664,7.633,575.862,Critical
7.825,13.748,8.994,5.479,10.034,4.491,Good
9.4,10.34,11.903,4.562,7.802,5.056,Good
8.541,12.656,9.801,6.185,10.249,3.062,Good
9.4,10.767,14.21,3.605,9.92,3.952,Good
8.589,13.657,12.402,5.163,7.74,388.377,Minor
8.043,13.96,10.629,5.118,7.806,4.612,Good
9.044,13.456,11.728,4.979,7.418,334.523,Minor
6.71,14.56,12.922,3.514,7.49,2.951,Good
8.029,11.031,11.771,5.239,9.581,458.787,Moderate
7.429,10.782,1549.232,5.039,790.722,440.631,Critical
9.631,12.472,12.184,593.145,9.458,4.62,Moderate
9.354,14.119,14.149,4.722,10.463,490.433,Moderate
9.009,13.262,14.844,5.823,8.847,318.054,Minor
9.071,13.41,1361.134,3.431,8.659,405.001,Critical
6.998,10.093,12.749,5.701,7.848,4.137,Good
10.768,14.452,1294.928,3.979,10.394,4.361,Critical
8.531,14.621,13.994,4.819,6.971,3.725,Good
7.614,14.421,13.38,4.745,8.664,5.651,Good
9.849,12.197,12.835,5.305,9.198,5.202,Good
8.816,13.479,11.332,5.05,7.551,392.109,Minor
8.38,12.243,9.718,4.845,9.652,560.513,Moderate
9.265,11.377,13.312,487.915,7.89,5.605,Moderate
7.836,13.242,14.178,4.582,9.505,3.707,Good
8.146,14.387,13.901,5.447,10.135,402.523,Minor
7.415,13.199,16.174,400.123,7.234,475.942,Moderate
7.812,12.459,11.661,4.818,8.313,5.092,Good
11.096,14.057,11.962,4.394,9.164,451.042,Moderate
9.468,11.9,12.49,5.708,7.448,4.101,Good
8.195,1125.402,11.457,4.737,8.656,442.312,Critical
8.72,12.409,12.178,3.276,8.245,342.556,Minor
9.43,14.242,11.167,4.872,8.895,348.54,Minor
8.536,16.163,12.721,4.707,10.679,5.375,Good
7.912,12.093,13.419,4.916,8.144,407.082,Minor
8.885,11.676,11.806,4.151,663.636,403.92,Critical
9.641,14.676,12.655,4.232,9.409,3.729,Critical
8.836,11.26,11.611,3.232,9.218,3.94,Good
8.508,13.003,10.456,3.979,755.165,437.734,Critical
8.285,12.234,13.348,5.441,6.888,3.956,Good
7.81,13.554,11.09,5.395,7.767,490.19,Moderate
9.238,10.487,10.86,5.574,8.25,3.208,Good
9.869,15.5,10.854,4.42,7.64,412.821,Minor
7.619,14.3,13.941,5.06,9.228,385.169,Minor
7.85,13.299,11.816,4.219,8.183,3.94,Good
8.937,13.523,1161.087,3.431,7.907,4.377,Critical
8.937,13.038,13.443,389.803,8.221,4.661,Minor
8.556,11.863,13.908,4.712,7.182,345.83,Minor
7.713,10.556,11.706,5.217,9.354,384.563,Minor
6.899,13.871,9.51,5.84,9.242,4.207,Good
8.327,12.079,11.558,564.05,9,5.457,Moderate
9.34,12.134,12.627,494.781,10.064,4.856,Moderate
8.772,14.055,1064.601,4.445,8.771,356.782,Critical
9.058,13.13,11.332,3.625,9.533,4.035,Good
9.281,13.081,10.603,4.033,9.415,385.151,Minor
9.904,16.163,11.167,5.908,7.999,518.079,Moderate
9.849,14.133,12.355,6.207,9.256,389.647,Minor
9.104,12.37,10.569,5.877,9.599,455.916,Moderate
6.922,14.743,8.994,325.103,8.562,398.101,Moderate
8.029,10.182,1361.564,5.608,9.533,3.192,Critical
8.029,13.013,14.774,4.554,8.108,3.766,Good
8.191,10.864,11.758,5.584,9.633,4.683,Good
7.691,1580.141,12.221,5.01,8.136,3.889,Critical
8.754,13.099,10.122,4.94,9.032,392.109,Minor
7.1,13.748,12.06,5.164,8.483,449.064,Moderate
7.527,12.487,14.119,389.327,8.21,418.787,Moderate
7.576,12.599,10.643,5.049,8.365,403.463,Minor
10.344,14.852,11.806,604.422,7.543,369.377,Critical
9.058,14.85,11.771,4.185,7.802,519.036,Moderate
9.658,13.523,10.603,4.762,8.211,349.187,Minor
8.319,11.64,12.642,4.806,7.821,436.834,Moderate
7.822,13.542,12.459,6.432,7.147,4.741,Good
8.216,11.88,9.862,436.384,7.926,362.344,Moderate
9.497,12.537,10.86,4.924,9.188,4.427,Good
